company_names,company_code,p/e_ratio
Craftsman Automation,CRAFTSMAN.NS,31.1
Indian Railway Finance,IRFC.NS,31.1
Apex Frozen Foods,APEX.NS,31.1
Engineers India,ENGINERSIN.NS,31.1
FDC India,FDC.NS,31.7
New India Assurance,NIACL.NS,31.8
RITES,RITES.NS,31.9
Cholamandalam Investment and Finance,CHOLAFIN.NS,32.1
Tata Consultancy Services,TCS.NS,32.3
Aurobindo Pharma,AUROPHARMA.NS,32.4
Shriram Pistons & Rings,SHRIPISTON.NS,32.4
LTIMindtree,LTIM.NS,32.5
Lux Industries,LUXIND.NS,32.5
RPG Life Sciences,RPGLIFE.NS,32.9
Cipla,CIPLA.NS,32.9
Punjab & Sind Bank,PSB.NS,32.9
Bajaj Finance,BAJFINANCE.NS,33.0
Gokaldas Exports,GOKEX.NS,33.3
Sanofi India Limited,SANOFI.NS,33.3
Ratnamani Metals & Tubes,RATNAMANI.NS,33.4
Power Mech Projects,POWERMECH.NS,33.8
Cyient,CYIENT.NS,34.2
Finolex Industries,FINPIPE.NS,34.4
Wonderla Holidays,WONDERLA.NS,34.6
Maruti Suzuki India,MARUTI.NS,34.6
Praj Industries,PRAJIND.NS,34.8
Torrent Power,TORNTPOWER.NS,34.9
Zydus Wellness,ZYDUSWELL.NS,35.2
Tata Coffee,TATACOFFEE.NS,35.6
Gabriel India,GABRIEL.NS,35.7
Orient Cement,ORIENTCEM.NS,35.7
Sandhar,SANDHAR.NS,36.0
Eicher Motors,EICHERMOT.NS,36.1
Bajaj Finserv,BAJAJFINSV.NS,36.2
Neuland Laboratories,NEULANDLAB.NS,36.3
Alembic Pharmaceuticals,APLLTD.NS,36.4
Gujarat Alkalies and Chemicals,GUJALKALI.NS,36.6
Parag Milk Foods,PARAGMILK.NS,36.7
Bajaj Auto,BAJAJ-AUTO.NS,36.9
Suprajit Engineering,SUPRAJIT.NS,37.0
CenturyPly,CENTURYPLY.NS,37.3
Ramkrishna Forgings,RKFORGE.NS,37.6
InterGlobe Aviation,INDIGO.NS,37.7
Oberoi Realty,OBEROIRLTY.NS,37.7
Electrosteel Castings,ELECTCAST.NS,37.7
Dalmia Bharat,DALBHARAT.NS,37.7
CARE's Ratings,CARERATING.NS,38.1
Vesuvius India,VESUVIUS.NS,38.4
Shalby,SHALBY.NS,38.5
Exide Industries,EXIDEIND.NS,38.7
Tata Power,TATAPOWER.NS,38.7
Rico Auto Industries,RICOAUTO.NS,38.8
Hikal,HIKAL.NS,39.0
Gland Pharma,GLAND.NS,39.0
Zydus Lifesciences,ZYDUSLIFE.NS,39.2
"Sumitomo Chemical
India",SUMICHEM.NS,39.3
Apar Industries,APARINDS.NS,39.3
Somany Ceramics,SOMANYCERA.NS,39.3
Steel Authority of India,SAIL.NS,39.6
Crompton Greaves Consumer Electricals,CROMPTON.NS,39.8
Cera Sanitaryware,CERA.NS,39.8
Deepak Nitrite,DEEPAKNTR.NS,40.2
SKF India,SKFINDIA.NS,40.3
Jay Bharat Maruti,JAYBARMARU.NS,40.4
Indian Energy Exchange,IEX.NS,40.5
Voltamp Transformers,VOLTAMP.NS,40.6
Quess,QUESS.NS,41.0
Escorts Limited,ESCORTS.NS,41.1
Welspun India,WELSPUNIND.NS,41.2
Asahi India Glass,ASAHIINDIA.NS,41.7
Samvardhana Motherson,MOTHERSON.NS,42.4
Larsen & Toubro,LT.NS,42.6
PI Industries,PIIND.NS,42.7
Filatex India,FILATEX.NS,43.6
Foseco India,FOSECOIND.NS,43.9
Balkrishna Industries,BALKRISIND.NS,44.2
Sun Pharmaceutical,SUNPHARMA.NS,44.6
SRF Limited,SRF.NS,44.7
Rupa Company,RUPA.NS,44.8
Madras Rubber Factory,MRF.NS,44.9
Britannia Industries,BRITANNIA.NS,45.2
Avalon Technologies,AVALON.NS,45.4
Adani Ports & SEZ,ADANIPORTS.NS,45.9
Greenply,GREENPLY.NS,45.9
Hester Biosciences,HESTERBIO.NS,45.9
Atul,ATUL.NS,46.1
SJVN,SJVN.NS,46.4
Heidelbergcement India,HEIDELBERG.NS,46.4
