company_names,company_code,earnings
Max Healthcare Institute,MAXHEALTH.NS,$0.16 B
West Coast Paper Mills,WSTCSTPAPR.NS,$0.16 B
Exide Industries,EXIDEIND.NS,$0.15 B
IIFL Wealth Management,IIFLWAM.NS,$0.15 B
Solar Industries India,SOLARINDS.NS,$0.15 B
RBL Bank,RBLBANK.NS,$0.15 B
Godawari Power & Ispat,GPIL.NS,$0.14 B
Schaeffler India,SCHAEFFLER.NS,$0.14 B
Gujarat Mineral Development,GMDCLTD.NS,$0.14 B
City Union Bank,CUB.NS,$0.14 B
CG Power and Industrial Solutions,CGPOWER.NS,$0.13 B
UNO Minda,UNOMINDA.NS,$0.13 B
Mahindra CIE,MAHINDCIE.NS,$0.13 B
Kalpataru Power Transmission,KALPATPOWR.NS,$0.13 B
Yes Bank,YESBANK.NS,$0.13 B
New India Assurance,NIACL.NS,$0.13 B
Amara Raja Batteries,AMARAJABAT.NS,$0.13 B
Deepak Nitrite,DEEPAKNTR.NS,$0.13 B
Apar Industries,APARINDS.NS,$0.13 B
Trent Limited,TRENT.NS,$0.12 B
Tata Elxsi,TATAELXSI.NS,$0.12 B
Godrej Properties,GODREJPROP.NS,$0.12 B
Graphite India,GRAPHITE.NS,$0.12 B
Bayer Crop Science,BAYERCROP.NS,$0.12 B
APL Apollo,APLAPOLLO.NS,$0.12 B
Ipca Laboratories,IPCALAB.NS,$0.12 B
Coforge,COFORGE.NS,$0.12 B
Patanjali Foods,PATANJALI.NS,$0.12 B
ICICI Prulife,ICICIPRULI.NS,$0.12 B
NCC Limited,NCC.NS,$0.12 B
Electrosteel Castings,ELECTCAST.NS,$0.11 B
Cyient,CYIENT.NS,$0.11 B
KEC International,KEC.NS,$0.11 B
Gland Pharma,GLAND.NS,$0.11 B
Procter & Gamble India,PGHH.NS,$0.11 B
Bombay Burmah,BBTC.NS,$0.11 B
Rajesh Exports,RAJESHEXPO.NS,$0.11 B
Ramco Cements,RAMCOCEM.NS,$0.11 B
BSE,BSE.NS,$0.11 B
Gujarat Fluorochemicals,FLUOROCHEM.NS,$0.10 B
Thermax,THERMAX.NS,$0.10 B
Ratnamani Metals & Tubes,RATNAMANI.NS,$0.10 B
Fortis Healthcare,FORTIS.NS,$0.10 B
CEAT,CEATLTD.NS,$0.10 B
DCM Shriram,DCMSHRIRAM.NS,$0.10 B
CRISIL,CRISIL.NS,$0.10 B
Sanofi India Limited,SANOFI.NS,$0.10 B
Finolex Cables,FINCABLES.NS,$0.10 B
Adani Total Gas,ATGL.NS,$99.91 M
Zensar,ZENSARTECH.NS,$97.84 M
Endurance Technologies,ENDURANCE.NS,$96.68 M
Astral Poly Technik,ASTRAL.NS,$94.28 M
Emami,EMAMILTD.NS,$92.99 M
CSB Bank,CSBBANK.NS,$92.74 M
PCBL Limited,PCBL.NS,$92.69 M
Page Industries,PAGEIND.NS,$92.67 M
PTC India,PTC.NS,$92.53 M
Force Motors,FORCEMOT.NS,$89.69 M
3M India,3MINDIA.NS,$88.92 M
EIH Limited,EIHOTEL.NS,$87.46 M
Blue Star,BLUESTARCO.NS,$86.84 M
RITES,RITES.NS,$86.68 M
KPIT Technologies,KPITTECH.NS,$86.13 M
eClerx Services,ECLERX.NS,$85.64 M
Suzlon,SUZLON.NS,$85.46 M
Trident,TRIDENT.NS,$84.66 M
Knr Constructions,KNRCON.NS,$84.14 M
Reliance Power,RPOWER.NS,$83.11 M
TANLA,TANLA.NS,$82.55 M
SKF India,SKFINDIA.NS,$82.06 M
Syngene International,SYNGENE.NS,$81.95 M
Finolex Industries,FINPIPE.NS,$81.35 M
Carborundum Universal,CARBORUNIV.NS,$79.93 M
BASF India,BASF.NS,$78.8 M
Bharat Dynamics,BDL.NS,$78.12 M
