company_names,company_code,operating_margin
Laurus Labs,LAURUSLABS.NS,13.96%
DCM Shriram,DCMSHRIRAM.NS,13.92%
FDC India,FDC.NS,13.90%
Shriram Pistons & Rings,SHRIPISTON.NS,13.82%
Shalby,SHALBY.NS,13.69%
Indian Telephone Industries,ITI.NS,13.65%
Deepak Nitrite,DEEPAKNTR.NS,13.64%
INEOS Styrolution,INEOSSTYRO.NS,13.63%
Polyplex,POLYPLEX.NS,13.62%
ABB India,ABB.NS,13.58%
Ipca Laboratories,IPCALAB.NS,13.51%
Alkem Laboratories,ALKEM.NS,13.48%
Carborundum Universal,CARBORUNIV.NS,13.45%
Cigniti Technologies,CIGNITITEC.NS,13.45%
WNS,WNS,13.43%
Siemens India,SIEMENS.NS,13.43%
ZF Commercial Vehicle Control Systems India,ZFCVINDIA.NS,13.41%
Tata Consumer Products,TATACONSUM.NS,13.40%
Graphite India,GRAPHITE.NS,13.36%
KSB ltd,KSB.NS,13.29%
Vidhi Specialty Food,VIDHIING.NS,13.28%
Excel Industries,EXCELINDUS.NS,13.27%
Indoco Remedies,INDOCO.NS,13.25%
BOSCH India,BOSCHLTD.NS,12.97%
National Aluminum & Alloy,NATIONALUM.NS,12.94%
BLS International,BLS.NS,12.90%
Berger Paints,BERGEPAINT.NS,12.90%
Astec Lifesciences,ASTEC.NS,12.86%
Campus Activewear,CAMPUS.NS,12.83%
Cyient,CYIENT.NS,12.81%
Neuland Laboratories,NEULANDLAB.NS,12.80%
Symphony Limited,SYMPHONY.NS,12.79%
Polycab India,POLYCAB.NS,12.71%
Titan Company,TITAN.NS,12.51%
Punjab National Bank,PNB.NS,12.51%
UltraTech Cement,ULTRACEMCO.NS,12.47%
Coforge,COFORGE.NS,12.35%
Astral Poly Technik,ASTRAL.NS,12.31%
VIP Industries,VIPIND.NS,12.23%
Mirza International,MIRZAINT.NS,12.17%
Biocon,BIOCON.NS,12.16%
Ethos Watches,ETHOSLTD.NS,12.14%
Vadilal Industries,VADILALIND.NS,12.12%
Supreme Industries,SUPREMEIND.NS,12.07%
Ashok Leyland,ASHOKLEY.NS,12.02%
Gujarat Gas,GUJGASLTD.NS,11.98%
Rashtriya Chemicals and Fertilizers,RCF.NS,11.96%
Atul,ATUL.NS,11.95%
MM Forgings,MMFL.NS,11.95%
Ambuja Cements,AMBUJACEM.NS,11.93%
Engineers India,ENGINERSIN.NS,11.84%
Grasim Industries,GRASIM.NS,11.84%
Tech Mahindra,TECHM.NS,11.79%
Astra Microwave,ASTRAMICRO.NS,11.77%
India Motor Parts and Accessories,IMPAL.NS,11.76%
ICICI Lombard,ICICIGI.NS,11.75%
Hero MotoCorp,HEROMOTOCO.NS,11.73%
Ramkrishna Forgings,RKFORGE.NS,11.72%
Jindal Stainless (Hisar),JSLHISAR.NS,11.68%
East India Distilleries Parry,EIDPARRY.NS,11.57%
Bombay Burmah,BBTC.NS,11.55%
Tube Investments of India,TIINDIA.NS,11.50%
Shree Cement,SHREECEM.NS,11.35%
Vst Tillers Tractors,VSTTILLERS.NS,11.32%
Jindal Steel & Power,JINDALSTEL.NS,11.25%
Aurobindo Pharma,AUROPHARMA.NS,11.18%
Larsen & Toubro,LT.NS,11.16%
Galaxy Surfactants,GALAXYSURF.NS,11.15%
Lux Industries,LUXIND.NS,11.13%
Rain Industries,RAIN.NS,11.13%
Gulf Oil Lubricants,GULFOILLUB.NS,11.08%
HBL Power Systems,HBLPOWER.NS,10.80%
Kajaria Ceramics,KAJARIACER.NS,10.80%
Safari Industries India,SAFARI.NS,10.71%
Reliance Industries,RELIANCE.NS,10.59%
Devyani International,DEVYANI.NS,10.59%
Tata Power,TATAPOWER.NS,10.51%
Mahindra & Mahindra,M&M.NS,10.48%
India Nippon Electricals,INDNIPPON.NS,10.43%
PCBL Limited,PCBL.NS,10.42%
Trident,TRIDENT.NS,10.40%
VRL Logistics,VRLLOG.NS,10.38%
Bharti Airtel,BHARTIARTL.NS,10.30%
Avalon Technologies,AVALON.NS,10.29%
Honda Siel Power Products,HONDAPOWER.NS,10.29%
Heidelbergcement India,HEIDELBERG.NS,10.28%
Action Construction Equipment,ACE.NS,10.22%
Transport Corporation of India,TCI.NS,10.15%
Escorts Limited,ESCORTS.NS,10.05%
Ashoka Buildcon,ASHOKA.NS,10.04%
Vesuvius India,VESUVIUS.NS,10.03%
Blue Dart Express,BLUEDART.NS,9.82%
JK Cement,JKCEMENT.NS,9.70%
Zensar,ZENSARTECH.NS,9.65%
Jindal Worldwide,JINDWORLD.NS,9.62%
Power Mech Projects,POWERMECH.NS,9.61%
Glenmark Pharmaceuticals,GLENMARK.NS,9.57%
Electrosteel Castings,ELECTCAST.NS,9.56%
Rupa Company,RUPA.NS,9.56%
Infibeam Avenues,INFIBEAM.NS,9.54%
Sheela Foam,SFL.NS,9.48%
Aarti Drugs,AARTIDRUGS.NS,9.47%
Radico Khaitan,RADICO.NS,9.44%
Automotive Axles,AUTOAXLES.NS,9.39%
Bharat Forge,BHARATFORG.NS,9.38%
Jain Irrigation Systems,JISLDVREQS.NS,9.35%
Maruti Suzuki India,MARUTI.NS,9.34%
Syrma SGS Technology,SYRMA.NS,9.33%
Indus Towers,INDUSTOWER.NS,9.32%
Apollo Tyres,APOLLOTYRE.NS,9.30%
Hinduja Global Solutions,HGS.NS,9.29%
Nazara Technologies,NAZARA.NS,9.19%
Orient Paper Mills,ORIENTPPR.NS,9.18%
Kirloskar Ferrous Industries,KIRLFER.NS,9.16%
Ashiana Housing,ASHIANA.NS,9.14%
Lupin Limited,LUPIN.NS,9.13%
Jindal Stainless,JSL.NS,9.10%
Kellton Tech Solutions,KELLTONTEC.NS,9.09%
Dalmia Bharat,DALBHARAT.NS,9.07%
Time Technoplast,TIMETECHNO.NS,9.04%
Amara Raja Batteries,AMARAJABAT.NS,8.97%
Suprajit Engineering,SUPRAJIT.NS,8.91%
Apollo Hospitals,APOLLOHOSP.NS,8.91%
Nelco,NELCO.NS,8.87%
Aarti Industries,AARTIIND.NS,8.87%
Tamil Nadu Newsprint and Papers Limited,TNPL.NS,8.82%
Raymond,RAYMOND.NS,8.76%
Havells India,HAVELLS.NS,8.76%
Praj Industries,PRAJIND.NS,8.68%
Federal-Mogul Goetze,FMGOETZE.NS,8.66%
Sterling Tools,STERTOOLS.NS,8.64%
Crompton Greaves Consumer Electricals,CROMPTON.NS,8.61%
UNO Minda,UNOMINDA.NS,8.59%
Dollar Industries,DOLLAR.NS,8.55%
Madras Rubber Factory,MRF.NS,8.55%
Greenlam Industries,GREENLAM.NS,8.53%
Tide Water Oil,TIDEWATER.NS,8.48%
Reliance Infrastructure,RELINFRA.NS,8.35%
Barbeque Nation Hospitality,BARBEQUE.NS,8.35%
Ramco Cements,RAMCOCEM.NS,8.31%
VA Tech Wabag,WABAG.NS,8.19%
Olectra Greentech,OLECTRA.NS,8.19%
Yes Bank,YESBANK.NS,8.17%
Relaxo Footwear,RELAXO.NS,8.13%
Greenply,GREENPLY.NS,8.05%
Exide Industries,EXIDEIND.NS,8.03%
Sunteck Realty,SUNTECK.NS,8.00%
ACC,ACC.NS,7.92%
Thermax,THERMAX.NS,7.91%
Orient Cement,ORIENTCEM.NS,7.82%
Edelweiss Financial Services,EDELWEISS.NS,7.82%
Endurance Technologies,ENDURANCE.NS,7.79%
UPL,UPL.NS,7.78%
Oil & Natural Gas,ONGC.NS,7.75%
Blue Star,BLUESTARCO.NS,7.64%
Rane Brake Lining,RBL.NS,7.58%
Jubilant FoodWorks,JUBLFOOD.NS,7.51%
The Tinplate Company Of India,TINPLATE.NS,7.39%
Petronet LNG,PETRONET.NS,7.37%
Alembic Pharmaceuticals,APLLTD.NS,7.31%
V-Guard Industries,VGUARD.NS,7.26%
DMart,DMART.NS,6.89%
Sify,SIFY,6.83%
Chennai Petroleum,CHENNPETRO.NS,6.81%
Trent Limited,TRENT.NS,6.81%
Modern Dairies Limited,MODAIRY.BO,6.81%
Capacit'e Infraprojects,CAPACITE.NS,6.75%
Lumax Industries,LUMAXIND.NS,6.69%
Piramal Pharma,PPLPHARMA.NS,6.60%
Hindalco Industries,HINDALCO.NS,6.53%
Kalpataru Power Transmission,KALPATPOWR.NS,6.52%
Adani Enterprises,ADANIENT.NS,6.46%
Apex Frozen Foods,APEX.NS,6.37%
BEML,BEML.NS,6.35%
GTPL Hathway,GTPL.NS,6.35%
Chambal Fertilisers,CHAMBLFERT.NS,6.34%
Allcargo Logistics,ALLCARGO.NS,6.31%
Tata Steel,TATASTEEL.NS,6.30%
Surya Roshni,SURYAROSNI.NS,6.30%
TVS Motor,TVSMOTOR.NS,6.30%
Hikal,HIKAL.NS,6.29%
Oriental Aromatics,OAL.NS,6.18%
KCP Limited,KCP.NS,6.08%
Arvind,ARVIND.NS,6.05%
Gabriel India,GABRIEL.NS,6.01%
Info Edge,NAUKRI.NS,5.99%
Apar Industries,APARINDS.NS,5.94%
Orient Electric,ORIENTELEC.NS,5.87%
Patanjali Foods,PATANJALI.NS,5.86%
