company_names,company_code,market_cap
AIA Engineering,AIAENG.NS,$4.53 B
New India Assurance,NIACL.NS,$4.52 B
Dalmia Bharat,DALBHARAT.NS,$4.45 B
Max Financial Services,MFSL.NS,$4.33 B
LIC Housing Finance,LICHSGFIN.NS,$4.28 B
Coforge,COFORGE.NS,$4.23 B
CRISIL,CRISIL.NS,$4.23 B
Hindustan Copper,HINDCOPPER.NS,$4.15 B
Coromandel,COROMANDEL.NS,$4.11 B
Ipca Laboratories,IPCALAB.NS,$4.05 B
3M India,3MINDIA.NS,$4.03 B
National Aluminum & Alloy,NATIONALUM.NS,$4.02 B
JK Cement,JKCEMENT.NS,$4.01 B
Indraprastha Gas,IGL.NS,$4.00 B
NLC India,NLCINDIA.NS,$4.00 B
Biocon,BIOCON.NS,$3.99 B
Delhivery,DELHIVERY.NS,$3.98 B
Escorts Limited,ESCORTS.NS,$3.94 B
Fortis Healthcare,FORTIS.NS,$3.92 B
Exide Industries,EXIDEIND.NS,$3.91 B
Bharat Dynamics,BDL.NS,$3.88 B
Deepak Nitrite,DEEPAKNTR.NS,$3.75 B
Apollo Tyres,APOLLOTYRE.NS,$3.72 B
EIH Limited,EIHOTEL.NS,$3.66 B
Persistent Systems,PERSISTENT.NS,$3.60 B
Jubilant FoodWorks,JUBLFOOD.NS,$3.57 B
Tata Chemicals,TATACHEM.NS,$3.57 B
Gland Pharma,GLAND.NS,$3.54 B
Glenmark Pharmaceuticals,GLENMARK.NS,$3.53 B
Bandhan Bank,BANDHANBNK.NS,$3.53 B
Syngene International,SYNGENE.NS,$3.51 B
Blue Star,BLUESTARCO.NS,$3.50 B
Apar Industries,APARINDS.NS,$3.44 B
KIOCL,KIOCL.NS,$3.30 B
ZF Commercial Vehicle Control Systems India,ZFCVINDIA.NS,$3.30 B
Endurance Technologies,ENDURANCE.NS,$3.24 B
Aarti Industries,AARTIIND.NS,$3.20 B
Indian Telephone Industries,ITI.NS,$3.09 B
Paytm,PAYTM.NS,$3.05 B
Sun TV Network,SUNTV.NS,$2.98 B
Laurus Labs,LAURUSLABS.NS,$2.97 B
NBCC India,NBCC.NS,$2.94 B
Bayer Crop Science,BAYERCROP.NS,$2.91 B
Carborundum Universal,CARBORUNIV.NS,$2.90 B
Cyient,CYIENT.NS,$2.77 B
Radico Khaitan,RADICO.NS,$2.75 B
Grindwell Norton,GRINDWELL.NS,$2.75 B
Nerolac Paints,KANSAINER.NS,$2.72 B
SKF India,SKFINDIA.NS,$2.70 B
Hatsun Agro Products,HATSUN.NS,$2.67 B
Vedant Fashions,MANYAVAR.NS,$2.66 B
Timken India,TIMKEN.NS,$2.59 B
Ratnamani Metals & Tubes,RATNAMANI.NS,$2.53 B
JBM Auto,JBMA.NS,$2.49 B
Relaxo Footwear,RELAXO.NS,$2.48 B
Trident,TRIDENT.NS,$2.43 B
"Sumitomo Chemical
India",SUMICHEM.NS,$2.42 B
Ramco Cements,RAMCOCEM.NS,$2.40 B
Devyani International,DEVYANI.NS,$2.40 B
Emami,EMAMILTD.NS,$2.39 B
IDFC,IDFC.NS,$2.39 B
Elgi Equipments,ELGIEQUIP.NS,$2.38 B
Multi Commodity Exchange,MCX.NS,$2.38 B
Piramal Enterprises,PEL.NS,$2.37 B
CDSL,CDSL.NS,$2.35 B
Kajaria Ceramics,KAJARIACER.NS,$2.35 B
KEC International,KEC.NS,$2.35 B
Alembic Pharmaceuticals,APLLTD.NS,$2.34 B
Sanofi India Limited,SANOFI.NS,$2.33 B
Mahindra CIE,MAHINDCIE.NS,$2.33 B
WNS,WNS,$2.32 B
Dr Lal PathLabs,LALPATHLAB.NS,$2.29 B
Piramal Pharma,PPLPHARMA.NS,$2.29 B
Crompton Greaves Consumer Electricals,CROMPTON.NS,$2.24 B
Schneider Electric Infrastructure,SCHNEIDER.NS,$2.21 B
Atul,ATUL.NS,$2.18 B
Whirlpool India,WHIRLPOOL.NS,$2.16 B
Bata India,BATAINDIA.NS,$2.12 B
Inox Wind,INOXWIND.NS,$2.12 B
Action Construction Equipment,ACE.NS,$2.12 B
Chalet Hotels,CHALET.NS,$2.11 B
IIFL Wealth Management,IIFLWAM.NS,$2.10 B
