company_names,company_code,Dividend
Praj Industries,PRAJIND.NS,0.86%
Sterlite Technologies,STLTECH.NS,0.86%
Ambuja Cements,AMBUJACEM.NS,0.86%
DCM Shriram,DCMSHRIRAM.NS,0.85%
Punjab & Sind Bank,PSB.NS,0.85%
Atul,ATUL.NS,0.85%
Jindal Poly Films,JINDALPOLY.NS,0.84%
Bandhan Bank,BANDHANBNK.NS,0.84%
Alembic Pharmaceuticals,APLLTD.NS,0.83%
Nucleus Software Exports,NUCLEUS.NS,0.82%
Schaeffler India,SCHAEFFLER.NS,0.82%
Kaveri Seed,KSCL.NS,0.81%
KSB ltd,KSB.NS,0.81%
Quess,QUESS.NS,0.80%
Sun Pharmaceutical,SUNPHARMA.NS,0.80%
RPG Life Sciences,RPGLIFE.NS,0.80%
Kitex Garments,KITEX.NS,0.80%
Vst Tillers Tractors,VSTTILLERS.NS,0.80%
Finolex Cables,FINCABLES.NS,0.79%
Tata Elxsi,TATAELXSI.NS,0.79%
Voltas,VOLTAS.NS,0.79%
Life Insurance Corporation of India (LIC),LICI.NS,0.78%
Orient Electric,ORIENTELEC.NS,0.77%
ACC,ACC.NS,0.76%
Happiest Minds Technologies,HAPPSTMNDS.NS,0.76%
Maruti Suzuki India,MARUTI.NS,0.76%
Honda Siel Power Products,HONDAPOWER.NS,0.76%
Kajaria Ceramics,KAJARIACER.NS,0.76%
City Union Bank,CUB.NS,0.76%
ICICI Bank,IBN,0.75%
Tata Consumer Products,TATACONSUM.NS,0.75%
Grindwell Norton,GRINDWELL.NS,0.75%
Wendt India,WENDT.NS,0.74%
Cera Sanitaryware,CERA.NS,0.74%
Symphony Limited,SYMPHONY.NS,0.73%
Bharat Forge,BHARATFORG.NS,0.73%
Arvind,ARVIND.NS,0.72%
Mastek,MASTEK.NS,0.72%
Supreme Industries,SUPREMEIND.NS,0.71%
The Tinplate Company Of India,TINPLATE.NS,0.70%
Balkrishna Industries,BALKRISIND.NS,0.70%
Wheels India,WHEELS.NS,0.69%
MM Forgings,MMFL.NS,0.68%
Repco Home Finance,REPCOHOME.NS,0.68%
