company_names,company_code,market_cap
Bajaj Electricals,BAJAJELEC.NS,$1.27 B
Aether Industries,AETHER.NS,$1.27 B
Reliance Power,RPOWER.NS,$1.26 B
CEAT,CEATLTD.NS,$1.25 B
Granules India,GRANULES.NS,$1.24 B
KFin Technologies,KFINTECH.NS,$1.24 B
Amara Raja Batteries,AMARAJABAT.NS,$1.24 B
Anant Raj,ANANTRAJ.NS,$1.23 B
Sheela Foam,SFL.NS,$1.23 B
Indiabulls Housing Finance,IBULHSGFIN.NS,$1.21 B
Electrosteel Castings,ELECTCAST.NS,$1.21 B
City Union Bank,CUB.NS,$1.19 B
East India Distilleries Parry,EIDPARRY.NS,$1.19 B
MMTC,MMTC.NS,$1.18 B
PCBL Limited,PCBL.NS,$1.18 B
MapmyIndia,MAPMYINDIA.NS,$1.17 B
Praj Industries,PRAJIND.NS,$1.16 B
Infibeam Avenues,INFIBEAM.NS,$1.16 B
Network18,NETWORK18.NS,$1.14 B
Zydus Wellness,ZYDUSWELL.NS,$1.14 B
Force Motors,FORCEMOT.NS,$1.12 B
Voltamp Transformers,VOLTAMP.NS,$1.09 B
Godawari Power & Ispat,GPIL.NS,$1.07 B
Jubilant Pharmova,JUBLPHARMA.NS,$1.06 B
Cera Sanitaryware,CERA.NS,$1.06 B
Safari Industries India,SAFARI.NS,$1.05 B
Craftsman Automation,CRAFTSMAN.NS,$1.04 B
Kalpataru Power Transmission,KALPATPOWR.NS,$1.02 B
Syrma SGS Technology,SYRMA.NS,$1.02 B
Shriram Pistons & Rings,SHRIPISTON.NS,$1.02 B
Mahindra Lifespaces,MAHLIFE.NS,$1.01 B
Rajesh Exports,RAJESHEXPO.NS,$1.00 B
Galaxy Surfactants,GALAXYSURF.NS,$0.98 B
Neuland Laboratories,NEULANDLAB.NS,$0.98 B
Karnataka Bank,KTKBANK.NS,$0.97 B
Mastek,MASTEK.NS,$0.97 B
JSW Holdings,JSWHL.NS,$0.95 B
ESAB India,ESABINDIA.NS,$0.95 B
Varroc,VARROC.NS,$0.93 B
EaseMyTrip,EASEMYTRIP.NS,$0.92 B
Kirloskar Ferrous Industries,KIRLFER.NS,$0.91 B
Power Mech Projects,POWERMECH.NS,$0.90 B
Quess,QUESS.NS,$0.88 B
HEG,HEG.NS,$0.88 B
Arvind,ARVIND.NS,$0.87 B
